,forward,reverse
XYHDL,51.3,
UDCPPtppi,,
DSERDHr,3.5,3.78
RNDR3b,8.115,
DHORDfum,,
ORNDC,3.4,
PLIPA2A180pp,3.86,
EAR120y,5.3,
DURIPP,39.965,1.5225
LPLIPAL1A141pp,1016.0,
ME2,66.6,
FRD3,250.0,
NADHPO,1.1,
NTD8pp,4.12,
GLCTR3,4.357545811,
KAS15,3.765,
PLIPA1A141pp,1.1,
GCALDD,43.65,
NTPTP2,4000.0,
URIK2,0.0041,
AI2abcpp,95.19583333,
G3PAT141,166.8,
CLPNH161pp,,
CYTDH,11.6,
THIORDXi,146.2,
CLPNH180pp,,
MALTHXabcpp,95.19583333,
ACGAM1Ptex,100000000.0,100000000.0
PLIPA2A160pp,3.86,
PLIPA1A140pp,1.1,
APH160,1.55e-06,
SULabcpp,95.19583333,
NDPK6,571.5,783.0
SERtex,100000000.0,100000000.0
GLYALDtex,100000000.0,100000000.0
CFAS160E,0.067,
FACOAE180,61.375,
TDSR2,1.40385,
MOGDS,0.0048,
SGSAD,69.0,
F6PP,2.817,
TRSARr,243.0,243.0
3OAR140,99.3,0.59
G3PEtex,100000000.0,100000000.0
TYRtipp,22.0,
ASPt2_2pp,22.0,
HYXNtpp,22.0,22.0
PLIPA1G141pp,2.48,
IDONt2rpp,59.36758824,59.36758824
ARGSL,1359.545,34.5
GP4GH,250.0,
TMAOR2pp,145.25,
GLGC,370.0,
EAR180y,5.3,
SHGO,4.7,
TRE6PS,5.2,
CLBtex,100000000.0,100000000.0
2DGULRGx,60503.775,
ACOAD1fr,11.5,
2AGPG141tipp,100000000.0,
3KGK,14.80483333,
SUCCt2_3pp,22.0,
MALTTTRabcpp,95.19583333,
MLTG1,26.6,
DB4PS,2.848283333,
XMPtex,100000000.0,100000000.0
MALTTRabcpp,95.19583333,
D_LACt2pp,22.0,22.0
5DGLCNtex,100000000.0,100000000.0
L_LACt2rpp,22.0,22.0
ACGALtex,100000000.0,100000000.0
LA4NTpp,24.0530625,
SO4t2pp,22.0,
MALTPTabcpp,95.19583333,
HPPK2,0.17,
MALCOAMT,173.0,
PYDXNtpp,,
ALKP,749.8136875,
2AGPGAT120,0.016,
CHLtex,100000000.0,100000000.0
GK1,209.0,209.0
MOCDS,0.0046,
DXYLTD,368.4865,10.0
GALCTt2rpp,22.0,22.0
FESD1s,,
NADH5,8.9,
ECAP1pp,18.3185,
PFL,770.0,
PLIPA2A161pp,2.48,
AAMYLpp,132.0,
ILEt2rpp,22.0,
NI2abcpp,95.19583333,
THZPSN3,0.5,
RBK,9.166666667,
SQVOSI,1265.461667,
TAGURr,76.08846667,213.4339433
IPDDI,4.80625,4.80625
PNTOtex,100000000.0,100000000.0
FBP,19.3,
DAPtex,100000000.0,100000000.0
SULR,189.3611111,
ACPS1,1.0,
DSBGGT,22.0,
G1SAT,0.51,0.51
ACCOAC,30.1,
ACP1p,33.0,
GLUR,43.33,6.285
GMHEPPA,35.7,
