,Rxn_ID,Rxn_name,Rxn_Loc,Rxn_Subsystem,Rxn_kcat,Rxn_genes_rules,Rxn_mW_c,Rxn_mW_m,Rxn_numTMb,Rxn_mW_c_Total,Rxn_mW_m_Total,Rxn_locations_Total,Rxn_count_Tmb_Total
0,ALATA_D2,D-alanine transaminase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,6.8625,b2551 or b0870,36495.0,0.0,0,"[45317.0, 36495.0]","[0.0, 0.0]","['Cytoplasmic', 'Cytoplasmic']","[0, 0]"
1,SHCHD2,Sirohydrochlorin dehydrogenase (NAD),Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,0.45,b3368,49951.0,0,0,[49951.0],[0.0],['Cytoplasmic'],[0]
2,CPPPGO,Coproporphyrinogen oxidase (O2 required),Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,0.003,b2436,34323.0,0,0,[34323.0],[0.0],['Cytoplasmic'],[0]
3,GTHOr_f,Glutathione oxidoreductase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,733.3,b3500,48773.0,0,0,[48773.0],[0.0],['Cytoplasmic'],[0]
4,DHORD5,Dihydroorotic acid (menaquinone-8),Cytoplasmic,Purine and Pyrimidine Biosynthesis,82.0,b0945,36775.0,0,0,[36775.0],[0.0],['Cytoplasmic'],[0]
5,GLYCTO2,Glycolate oxidase,Cytoplasmic,Alternate Carbon Metabolism,15.7,b2979 and b4468 and b4467,137283.0,0,0,[137283.0],[0.0],['Cytoplasmic'],[0]
6,GLYCTO3,Glycolate oxidase,Cytoplasmic,Alternate Carbon Metabolism,15.7,b2979 and b4468 and b4467,137283.0,0,0,[137283.0],[0.0],['Cytoplasmic'],[0]
7,GLYCTO4,Glycolate oxidase,Cytoplasmic,Alternate Carbon Metabolism,15.7,b2979 and b4468 and b4467,137283.0,0,0,[137283.0],[0.0],['Cytoplasmic'],[0]
8,PFK_3,Phosphofructokinase (s7p),Cytoplasmic,Pentose Phosphate Pathway,31.0185,b3916,34842.0,0,0,[34842.0],[0.0],['Cytoplasmic'],[0]
9,TRPS2,Tryptophan synthase (indole),Cytoplasmic,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",3.695,b1260 and b1261,71707.0,0,0,[71707.0],[0.0],['Cytoplasmic'],[0]
10,G3PD5,Glycerol-3-phosphate dehydrogenase (ubiquinone-8),Cytoplasmic,Oxidative Phosphorylation,33.3,(b2243 and b2242 and b2241) or b3426,56751.0,0.0,0,"[148423.0, 56751.0]","[0.0, 0.0]","['Cytoplasmic', 'Cytoplasmic']","[0, 0]"
11,EX_acgam_e_f,N-Acetyl-D-glucosamine exchange,Exchange,Extracellular exchange,nan,,0,0,0,[0],[0],['Exchange'],[0]
12,EX_cellb_e_f,Cellobiose exchange,Exchange,Extracellular exchange,nan,,0,0,0,[0],[0],['Exchange'],[0]
13,EX_chol_e_f,Choline exchange,Exchange,Extracellular exchange,nan,,0,0,0,[0],[0],['Exchange'],[0]
14,LEUTAi,Leucine transaminase (irreversible),Cytoplasmic,"Valine, Leucine, and Isoleucine Metabolism",15.655,b3770 or b4054,34094.0,0,0,"[34094.0, 43538.0]","[0.0, 0.0]","['Cytoplasmic', 'Cytoplasmic']","[0, 0]"
15,SHK3Dr_f,Shikimate dehydrogenase,Cytoplasmic,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",236.745,b3281 or b1692,29414.0,0,0,"[29414.0, 31228.0]","[0.0, 0.0]","['Cytoplasmic', 'Cytoplasmic']","[0, 0]"
16,G5SD,Glutamate-5-semialdehyde dehydrogenase,Cytoplasmic,Arginine and Proline Metabolism,176.8525,b0243,44630.0,0,0,[44630.0],[0.0],['Cytoplasmic'],[0]
17,ALATA_L2,Alanine transaminase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,6.8625,b0870 or b2551,36495.0,0,0,"[36495.0, 45317.0]","[0.0, 0.0]","['Cytoplasmic', 'Cytoplasmic']","[0, 0]"
18,MAN6PI_f,Mannose-6-phosphate isomerase,Cytoplasmic,Alternate Carbon Metabolism,1.38,b1613,42850.0,0,0,[42850.0],[0.0],['Cytoplasmic'],[0]
19,APRAUR,5-amino-6-(5-phosphoribosylamino)uracil reductase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,7.3275,b0414,40338.0,0,0,[40338.0],[0.0],['Cytoplasmic'],[0]
20,DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,2.848283333,b3041,23353.0,0,0,[23353.0],[0.0],['Cytoplasmic'],[0]
21,RBFK,Riboflavin kinase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,3.716666667,b0025,34734.0,0,0,[34734.0],[0.0],['Cytoplasmic'],[0]
22,ACP1_FMN,Acid phosphatase (FMN),Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,0.59,b3812 or b0446 or b0844,27122.0,0,0,"[27122.0, 30371.0, 30196.0]","[0.0, 0.0, 0.0]","['Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic']","[0, 0, 0]"
23,RBFSb,Riboflavin synthase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,0.267,b1662,23445.0,0,0,[23445.0],[0.0],['Cytoplasmic'],[0]
24,EX_pi_e_f,Phosphate exchange,Exchange,Extracellular exchange,nan,,0,0,0,[0],[0],['Exchange'],[0]
25,EX_h_e_f,H+ exchange,Exchange,Extracellular exchange,nan,,0,0,0,[0],[0],['Exchange'],[0]
26,DMATT,Dimethylallyltranstransferase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,0.49,b0421,32160.0,0,0,[32160.0],[0.0],['Cytoplasmic'],[0]
27,GRTT,Geranyltranstransferase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,0.345,b0421,32160.0,0,0,[32160.0],[0.0],['Cytoplasmic'],[0]
28,UPP3S,Uroporphyrinogen-III synthase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,500.0,b3804,27798.0,0,0,[27798.0],[0.0],['Cytoplasmic'],[0]
29,UPPDC1,Uroporphyrinogen decarboxylase (uroporphyrinogen III),Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,0.317,b3997,39248.0,0,0,[39248.0],[0.0],['Cytoplasmic'],[0]
30,TMDPP_f,Thymidine phosphorylase,Cytoplasmic,Nucleotide Salvage Pathway,130.0,b4382,47207.0,0,0,[47207.0],[0.0],['Cytoplasmic'],[0]
31,EX_ade_e_f,Adenine exchange,Exchange,Extracellular exchange,nan,,0,0,0,[0],[0],['Exchange'],[0]
32,EX_4abut_e_f,4-Aminobutanoate exchange,Exchange,Extracellular exchange,nan,,0,0,0,[0],[0],['Exchange'],[0]
33,EX_ac_e_f,Acetate exchange,Exchange,Extracellular exchange,nan,,0,0,0,[0],[0],['Exchange'],[0]
34,EX_akg_e_f,2-Oxoglutarate exchange,Exchange,Extracellular exchange,nan,,0,0,0,[0],[0],['Exchange'],[0]
35,EX_ala__L_e_f,L-Alanine exchange,Exchange,Extracellular exchange,nan,,0,0,0,[0],[0],['Exchange'],[0]
36,EX_arg__L_e_f,L-Arginine exchange,Exchange,Extracellular exchange,nan,,0,0,0,[0],[0],['Exchange'],[0]
