Reaction ID,Reaction name,Reaction equation,EC number,Enzyme molar mass [g/mol],Turnover number (kcat) [1/s]
ATPM,ATP maintenance requirement,atp_c + h2o_c  -> h_c + adp_c + pi_c ,,0,22
APH141,Acylphosphatase (C14:1),ttdceap_c + h2o_c  -> 2 h_c + pi_c + ttdcea_c ,3.6.1.7,10299.43,0.00000155
APH161,Acylphosphatase (C16:1),hdceap_c + h2o_c  -> 2 h_c + hdcea_c + pi_c ,3.6.1.7,10299.43,0.00000155
APH180,Acylphosphatase (C18:0),h2o_c + ocdcap_c  -> 2 h_c + ocdca_c + pi_c ,3.6.1.7,10299.43,0.00000155
APH181,Acylphosphatase (C18:1),h2o_c + ocdceap_c  -> 2 h_c + ocdcea_c + pi_c ,3.6.1.7,10299.43,0.00000155
APH120,Acylphosphatase (C12:0),ddcap_c + h2o_c  -> 2 h_c + pi_c + ddca_c ,3.6.1.7,10299.43,0.00000155
APH140,Acylphosphatase (C14:0),ttdcap_c + h2o_c  -> 2 h_c + pi_c + ttdca_c ,3.6.1.7,10299.43,0.00000155
APH160,Acylphosphatase (C16:0),hdcap_c + h2o_c  -> 2 h_c + pi_c + hdca_c ,3.6.1.7,10299.43,0.00000155
PAI2I,Phospho-AI-2 isomerase,dhptdp_c  -> dhptdd_c ,5.3.1.32,11254.42,1265.461667
CYANSTpp,Cyanide sulfurtransferase (periplasmic),cyan_p + tsul_p  -> tcynt_p + h_p + so3_p ,2.8.1.1,11475.01,230
QMO2,Quinol monooxygenase (Ubiquinol-8),2 o2_c + q8h2_c  -> 2 h_c + 2 o2s_c + q8_c ,1.-.-.-,11532.1,69.50713596
QMO3,Quinol monooxygenase (menaquinol 8),2 o2_c + mql8_c  -> 2 h_c + 2 o2s_c + mqn8_c ,1.-.-.-,11532.1,69.50713596
CHLt3pp,Choline transport via proton antiport (periplasm),h_p + chol_c  -> h_c + chol_p ,,11958.09,22
GLYBt3pp,Glycine betaine transport via proton antiport (periplasm),glyb_c + h_p  -> h_c + glyb_p ,,11958.09,22
