Model,FVA_Percent,Analysis_Type,Gamma_fMSA,ATPM,Uptake_Bound,Reaction,Original_Value,Min_Value,Max_Value,FVA_Difference
Homog,0,membrane,1,6.89,6,rx_FRD2,0.164979310609487,0,44.5714285714286,44.5714285714286
Homog,0,membrane,1,6.89,6,rx_FRD3,23.5155353827204,0,44.5714285714286,44.5714285714286
Homog,0,membrane,1,6.89,6,rx_MOAT,0.00421697318119446,0,0.234626676523392,0.234626676523392
Homog,0,membrane,1,6.89,6,rx_TDSK,0.00421697318119446,0,0.234626676523392,0.234626676523392
Homog,0,membrane,1,6.89,6,rx_HEMEOS,0.000115370509067153,0,0.000106439016468444,0.000106439016468444
Homog,0,membrane,1,6.89,6,rx_EDTXS1,0.00421697318119446,0,0.234626676523392,0.234626676523392
Homog,0,membrane,1,6.89,6,rx_EDTXS2,0.00421697318119446,0,0.234626676523392,0.234626676523392
Homog,0,membrane,1,6.89,6,rx_EDTXS3,0,0,0,0
Homog,0,membrane,1,6.89,6,rx_EDTXS4,0,0,0,0
Homog,0,membrane,1,6.89,6,rx_AACPS1,0.00421697318119446,0,42.07,42.07
Homog,0,membrane,1,6.89,6,rx_DMSOR1,0,0,0,0
Homog,0,membrane,1,6.89,6,rx_AACPS2,0,0,42.07,42.07
Homog,0,membrane,1,6.89,6,rx_AACPS3,0.0627563833671023,0,42.07,42.07
Homog,0,membrane,1,6.89,6,rx_AACPS4,0.0488115551097209,0,42.07,42.07
Homog,0,membrane,1,6.89,6,rx_DMSOR2,0,0,0,0
Homog,0,membrane,1,6.89,6,rx_ACGAMT,0,0,0.431517781049043,0.431517781049043
Homog,0,membrane,1,6.89,6,rx_UDCPDP,0.0142671413836093,0,7.35932203389831,7.35932203389831
Homog,0,membrane,1,6.89,6,rx_AOBUTDs,0,0,16.2262068965517,16.2262068965517
Homog,0,membrane,1,6.89,6,rx_HBZOPT,0.000115370509067153,0,0.000104792789047097,0.000104792789047097
Homog,0,membrane,1,6.89,6,rx_TMAOR1,0,0,0,0
Homog,0,membrane,1,6.89,6,rx_TMAOR2,0,0,0,0
Homog,0,membrane,1,6.89,6,rx_PAPPT3,0.0142671413836093,0,7.35932203389831,7.35932203389831
Homog,0,membrane,1,6.89,6,rx_ADOCBLS,0,0,0,0
Homog,0,membrane,1,6.89,6,rx_G5SADs,0.111127150702271,0,60.76,60.76
Homog,0,membrane,1,6.89,6,rx_MOAT2,0.00421697318119446,0,0.234626676523392,0.234626676523392
Homog,0,membrane,1,6.89,6,rx_H2Otex_f,0,0,654.711898312852,654.711898312852
Homog,0,membrane,1,6.89,6,rx_NO3R1bpp,0,0,0,0
Homog,0,membrane,1,6.89,6,rx_O2tpp_f,13.776443466266,0,656.463387674554,656.463387674554
