,Rxn_ID,Rxn_name,Rxn_Loc,Rxn_Subsystem,Rxn_Mw_c,Rxn_Mw_t,Rxn_Mw_p,Rxn_kcat,Rxn_genes_rules
0,ALATA_D2,D-alanine transaminase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,36495.0,0.0,0.0,6.8625,b2551 or b0870
1,SHCHD2,Sirohydrochlorin dehydrogenase (NAD),Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,49951.0,0.0,0.0,0.45,b3368
2,CPPPGO,Coproporphyrinogen oxidase (O2 required),Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,34323.0,0.0,0.0,0.003,b2436
3,GTHOr_f,Glutathione oxidoreductase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,48773.0,0.0,0.0,733.3,b3500
4,DHORD5,Dihydroorotic acid (menaquinone-8),Cytoplasmic,Purine and Pyrimidine Biosynthesis,36775.0,0.0,0.0,82.0,b0945
5,GLYCTO2,Glycolate oxidase,Cytoplasmic,Alternate Carbon Metabolism,137283.0,0.0,0.0,15.7,b2979 and b4468 and b4467
6,GLYCTO3,Glycolate oxidase,Cytoplasmic,Alternate Carbon Metabolism,137283.0,0.0,0.0,15.7,b2979 and b4468 and b4467
7,GLYCTO4,Glycolate oxidase,Cytoplasmic,Alternate Carbon Metabolism,137283.0,0.0,0.0,15.7,b2979 and b4468 and b4467
8,PFK_3,Phosphofructokinase (s7p),Cytoplasmic,Pentose Phosphate Pathway,34842.0,0.0,0.0,31.0185,b3916
9,TRPS2,Tryptophan synthase (indole),Cytoplasmic,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",71707.0,0.0,0.0,3.695,b1260 and b1261
10,G3PD5,Glycerol-3-phosphate dehydrogenase (ubiquinone-8),Cytoplasmic,Oxidative Phosphorylation,56751.0,0.0,0.0,33.3,(b2243 and b2242 and b2241) or b3426
11,EX_acgam_e_f,N-Acetyl-D-glucosamine exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
12,EX_cellb_e_f,Cellobiose exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
13,EX_chol_e_f,Choline exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
14,LEUTAi,Leucine transaminase (irreversible),Cytoplasmic,"Valine, Leucine, and Isoleucine Metabolism",34094.0,0.0,0.0,15.655,b3770 or b4054
15,SHK3Dr_f,Shikimate dehydrogenase,Cytoplasmic,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",29414.0,0.0,0.0,236.745,b3281 or b1692
16,G5SD,Glutamate-5-semialdehyde dehydrogenase,Cytoplasmic,Arginine and Proline Metabolism,44630.0,0.0,0.0,176.8525,b0243
17,ALATA_L2,Alanine transaminase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,36495.0,0.0,0.0,6.8625,b0870 or b2551
18,MAN6PI_f,Mannose-6-phosphate isomerase,Cytoplasmic,Alternate Carbon Metabolism,42850.0,0.0,0.0,1.38,b1613
19,APRAUR,5-amino-6-(5-phosphoribosylamino)uracil reductase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,40338.0,0.0,0.0,7.3275,b0414
20,DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,23353.0,0.0,0.0,2.848283333,b3041
