export_fraction,gamma,lambda_ac_mu,lambda_ac_glucose,lambda_ac_acetate,phi_M_at_lambda,notes
0.05,1.0,0.7448381448834772,9.114285714285716,1.3434043860908902,0.1237159168898788,Acetate onset detected
0.05,0.35,0.7448381448834748,9.114285714285716,1.3434043860905973,0.12371591688995989,Acetate onset detected
0.05,0.3,0.7448381448834852,9.114285714285716,1.3434043860904814,0.1237159168899049,Acetate onset detected
0.05,0.25,0.7378487308853632,9.114285714285716,1.6418349419719307,0.121,Acetate onset detected
0.05,0.2,0.5910859311947249,7.057142857142859,0.521476053091825,0.0968,Acetate onset detected
0.05,0.15,0.4507590905287812,5.685714285714287,0.8828005151178671,0.0726,Acetate onset detected
0.1,1.0,0.7448381448834772,9.114285714285716,1.3434043860908902,0.1300097992141442,Acetate onset detected
0.1,0.35,0.7448381448834848,9.114285714285716,1.343404386090621,0.130009799214169,Acetate onset detected
0.1,0.3,0.744838144883491,9.114285714285716,1.3434043860905531,0.13000979921416317,Acetate onset detected
0.1,0.25,0.6979708129142224,8.428571428571429,0.8426479137422417,0.121,Acetate onset detected
0.1,0.2,0.5710326075861002,7.057142857142859,1.4779692527410526,0.0968,Acetate onset detected
0.1,0.15,0.4344732487597911,5.685714285714287,1.0746265664455412,0.0726,Acetate onset detected
0.2,1.0,0.7448381448834772,9.114285714285716,1.3434043860908902,0.14259756386267494,Acetate onset detected
0.2,0.35,0.7448381448834851,9.114285714285716,1.3434043860903178,0.142597563862711,Acetate onset detected
0.2,0.3,0.744838144883479,9.114285714285716,1.3434043860902782,0.1425975638627402,Acetate onset detected
0.2,0.25,0.6412616558995765,7.742857142857145,0.8887970104562828,0.121,Acetate onset detected
0.2,0.2,0.5173493531572734,6.371428571428573,1.239138802097515,0.0968,Acetate onset detected
0.2,0.15,0.38914342715034855,5.000000000000001,0.23379076968426818,0.0726,Acetate onset detected
0.3,1.0,0.7448381448834772,9.114285714285716,1.3434043860908902,0.1551853285112057,Acetate onset detected
0.3,0.35,0.7448381448834859,9.114285714285716,1.343404386090412,0.15518532851122877,Acetate onset detected
0.3,0.3,0.6999146772406182,8.428571428571429,0.7437408905331666,0.1452,Acetate onset detected
0.3,0.25,0.5883518791533942,7.057142857142859,0.6518834726328551,0.121,Acetate onset detected
0.3,0.2,0.47001884148296064,5.685714285714287,0.6559456784160037,0.0968,Acetate onset detected
0.3,0.15,0.36457471968794475,5.000000000000001,0.523178214653218,0.0726,Acetate onset detected
