export_fraction,gamma,glc_uptake,mu,phiEc,phiEm,phiEr,phiCm,phiR,phiCc,unassigned
0.05,1.0,0.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,1.0,0.8857142857142859,0.05401264101499034,0.08689437636051865,0.0006078324912931518,0.01520928019057995,0.0007407948372227085,0.009128136331533369,0.0,0.11258042069424842
0.05,1.0,1.5714285714285716,0.11638596110601018,0.15537532587880007,0.0013097520758331793,0.02238449032801814,0.0013143134208789989,0.019669227426915722,0.0,0.20005310982713584
0.05,1.0,2.2571428571428576,0.17848094739296133,0.21040317180201196,0.0020085394245417353,0.029666774500082288,0.0018878320045352893,0.030163280109410467,0.0,0.2741295987527344
0.05,1.0,2.9428571428571435,0.24056502595951004,0.2646881216723955,0.002707204022969199,0.03695325483378806,0.00246135058819158,0.0406554893871572,0.0,0.3474654216303735
0.05,1.0,3.6285714285714294,0.3026491045260768,0.3189742916817381,0.0034058686213422912,0.04423973516748968,0.00303486917184787,0.05114769866490698,0.0,0.4208024646487076
0.05,1.0,4.314285714285715,0.36461482792722444,0.36309675715140366,0.004103201307262933,0.05157174631668303,0.0036083877555041603,0.061619905919700936,0.0,0.4840000000000415
0.05,1.0,5.000000000000001,0.42584578546911706,0.3438714695766899,0.00479226528872276,0.05918641930538998,0.004181906339160451,0.07196793774428079,0.0,0.4839999999991919
0.05,1.0,5.685714285714287,0.4853757615583393,0.3247887345405192,0.005462187236492435,0.06696514759471182,0.004755424922816742,0.08202850370335935,0.0,0.48400000000007776
0.05,1.0,6.371428571428573,0.5441555479730927,0.3057552246245468,0.006123666907598232,0.07482987506629984,0.005328943506473032,0.09196228760745268,0.0,0.48400000000008664
0.05,1.0,7.057142857142859,0.6029100026330138,0.2867221282207716,0.0067848615072216975,0.08269875516651419,0.005902462090129322,0.10189179044497933,0.0,0.4840000000000155
0.05,1.0,7.742857142857145,0.659754820982248,0.267608150678937,0.007424565970936535,0.0909927351149312,0.0064759806737856125,0.11149856474599992,0.0,0.4839999999999612
