Gamma,Iteration,Change_Factor,Acetate_threshold,ATPM,Z_Level,Y_Level,Random_Seed
0.25,1,1,0.79909380665744,6.89,0.0,0.0,1
0.2,1,1,0.620278001736613,6.89,0.0,0.0,1
0.15,1,1,0.463841661756396,6.89,0.0,0.0,1
0.3,1,1,0.726989505442229,6.89,0.0,0.0,1
0.277777777777778,1,1,0.803896097652929,6.89,0.0,0.0,1
0.211111111111111,1,1,0.649961933145788,6.89,0.0,0.0,1
0.1,1,1,0.325753499803871,6.89,0.0,0.0,1
1.0,1,1,0.803896097652932,6.89,0.0,0.0,1
0.25,1,1,0.778840838170793,6.89,0.01,0.0,1
0.2,1,1,0.618302892446116,6.89,0.01,0.0,1
0.15,1,1,0.462953050142836,6.89,0.01,0.0,1
0.3,1,1,0.778840838170793,6.89,0.01,0.0,1
0.277777777777778,1,1,0.778840838170792,6.89,0.01,0.0,1
0.211111111111111,1,1,0.647969998029444,6.89,0.01,0.0,1
0.1,1,1,0.325070334493648,6.89,0.01,0.0,1
1.0,1,1,0.778839479841681,6.89,0.01,0.0,1
0.25,1,1,0.757639409819679,6.89,0.02,0.0,1
0.2,1,1,0.616327732447914,6.89,0.02,0.0,1
0.15,1,1,0.462063523292054,6.89,0.02,0.0,1
0.3,1,1,0.757639409819691,6.89,0.02,0.0,1
0.277777777777778,1,1,0.757639409819676,6.89,0.02,0.0,1
0.211111111111111,1,1,0.645972636731679,6.89,0.02,0.0,1
0.1,1,1,0.319933786662352,6.89,0.02,0.0,1
1.0,1,1,0.757639409819698,6.89,0.02,0.0,1
0.25,1,1,0.710100356312094,6.89,0.04,0.0,1
0.2,1,1,0.612331764727663,6.89,0.04,0.0,1
0.15,1,1,0.460285839809854,6.89,0.04,0.0,1
0.3,1,1,0.710100356312101,6.89,0.04,0.0,1
0.277777777777778,1,1,0.710100356312104,6.89,0.04,0.0,1
0.211111111111111,1,1,0.641947907941794,6.89,0.04,0.0,1
0.1,1,1,0.318563239607627,6.89,0.04,0.0,1
1.0,1,1,0.710100356312094,6.89,0.04,0.0,1
0.25,1,1,0.650223456090116,6.89,0.08,0.0,1
0.2,1,1,0.599691860050964,6.89,0.08,0.0,1
0.15,1,1,0.456754378630569,6.89,0.08,0.0,1
0.3,1,1,0.650223456090116,6.89,0.08,0.0,1
0.277777777777778,1,1,0.650223456090111,6.89,0.08,0.0,1
0.211111111111111,1,1,0.628883227850847,6.89,0.08,0.0,1
0.1,1,1,0.306919073002532,6.89,0.08,0.0,1
1.0,1,1,0.65022345609011,6.89,0.08,0.0,1
0.25,1,1,0.61524880473743,6.89,0.1,0.0,1
0.2,1,1,0.59530504627917,6.89,0.1,0.0,1
0.15,1,1,0.459756800824713,6.89,0.1,0.0,1
0.3,1,1,0.614782731779471,6.89,0.1,0.0,1
0.277777777777778,1,1,0.614782731779475,6.89,0.1,0.0,1
0.211111111111111,1,1,0.618100789776953,6.89,0.1,0.0,1
0.1,1,1,0.30109627726067,6.89,0.1,0.0,1
1.0,1,1,0.614782731779472,6.89,0.1,0.0,1
0.25,1,1,0.531461591384572,6.89,0.15,0.0,1
0.2,1,1,0.53105853230398,6.89,0.15,0.0,1
0.15,1,1,0.443358171780817,6.89,0.15,0.0,1
0.3,1,1,0.531462066475676,6.89,0.15,0.0,1
0.277777777777778,1,1,0.531461608455808,6.89,0.15,0.0,1
0.211111111111111,1,1,0.531461591991347,6.89,0.15,0.0,1
0.1,1,1,0.288766026064741,6.89,0.15,0.0,1
1.0,1,1,0.531058990235202,6.89,0.15,0.0,1
0.25,1,1,0.447674378031728,6.89,0.2,0.0,1
0.2,1,1,0.447334860010093,6.89,0.2,0.0,1
0.15,1,1,0.433054520038721,6.89,0.2,0.0,1
0.3,1,1,0.447334862954548,6.89,0.2,0.0,1
0.277777777777778,1,1,0.447674378542834,6.89,0.2,0.0,1
0.211111111111111,1,1,0.447674378542835,6.89,0.2,0.0,1
0.1,1,1,0.284478748331131,6.89,0.2,0.0,1
1.0,1,1,0.447674392411603,6.89,0.2,0.0,1
0.25,1,1,0.367113732526302,6.89,0.25,0.0,1
0.2,1,1,0.367114053060745,6.89,0.25,0.0,1
0.15,1,1,0.367113732526296,6.89,0.25,0.0,1
0.3,1,1,0.366832279565675,6.89,0.25,0.0,1
0.277777777777778,1,1,0.367113388837456,6.89,0.25,0.0,1
0.211111111111111,1,1,0.366832279565672,6.89,0.25,0.0,1
0.1,1,1,0.279993899217406,6.89,0.25,0.0,1
1.0,1,1,0.367114050152872,6.89,0.25,0.0,1
0.25,1,1,0.742197192114449,6.89,0.0,0.005,1
0.2,1,1,0.589096214212549,6.89,0.0,0.005,1
0.15,1,1,0.431686431241268,6.89,0.0,0.005,1
0.3,1,1,0.791618629565443,6.89,0.0,0.005,1
0.277777777777778,1,1,0.791617377800307,6.89,0.0,0.005,1
0.211111111111111,1,1,0.620730875165718,6.89,0.0,0.005,1
0.1,1,1,0.2930920331823,6.89,0.0,0.005,1
1.0,1,1,0.791618629565448,6.89,0.0,0.005,1
0.25,1,1,0.699751373488033,6.89,0.0,0.01,1
0.2,1,1,0.552781662828188,6.89,0.0,0.01,1
0.15,1,1,0.40382612793304,6.89,0.0,0.01,1
0.3,1,1,0.778840838170788,6.89,0.0,0.01,1
0.277777777777778,1,1,0.778840838170788,6.89,0.0,0.01,1
0.211111111111111,1,1,0.59026223227664,6.89,0.0,0.01,1
0.1,1,1,0.259777130155575,6.89,0.0,0.01,1
1.0,1,1,0.778840838170793,6.89,0.0,0.01,1
0.25,1,1,0.641469878171138,6.89,0.0,0.02,1
0.2,1,1,0.48971217558257,6.89,0.0,0.02,1
0.15,1,1,0.343629557876626,6.89,0.0,0.02,1
0.3,1,1,0.757639409819683,6.89,0.0,0.02,1
0.277777777777778,1,1,0.714808631844612,6.89,0.0,0.02,1
0.211111111111111,1,1,0.522431017615747,6.89,0.0,0.02,1
0.1,1,1,0.174443472760464,6.89,0.0,0.02,1
1.0,1,1,0.75763940981969,6.89,0.0,0.02,1
0.25,1,1,0.515582230911309,6.89,0.0,0.04,1
0.2,1,1,0.361680774405164,6.89,0.0,0.04,1
0.15,1,1,0.211105820563863,6.89,0.0,0.04,1
0.3,1,1,0.657908776914233,6.89,0.0,0.04,1
0.277777777777778,1,1,0.598783229416049,6.89,0.0,0.04,1
0.211111111111111,1,1,0.390948008456,6.89,0.0,0.04,1
0.1,1,1,0.005197376080812,6.89,0.0,0.04,1
1.0,1,1,0.710100356312098,6.89,0.0,0.04,1
0.25,1,1,0.26376960450888,6.89,0.0,0.08,1
0.2,1,1,0.0743615283264542,6.89,0.0,0.08,1
0.15,1,1,0.0,6.89,0.0,0.08,1
0.3,1,1,0.4057633256177,6.89,0.0,0.08,1
0.277777777777778,1,1,0.339209659248675,6.89,0.0,0.08,1
0.211111111111111,1,1,0.121954619967556,6.89,0.0,0.08,1
0.1,1,1,0.0,6.89,0.0,0.08,1
1.0,1,1,0.650223456090119,6.89,0.0,0.08,1
0.25,1,1,0.111021633184503,6.89,0.0,0.1,1
0.2,1,1,0.0,6.89,0.0,0.1,1
0.15,1,1,0.0,6.89,0.0,0.1,1
0.3,1,1,0.2818264445468,6.89,0.0,0.1,1
0.277777777777778,1,1,0.222988265983065,6.89,0.0,0.1,1
0.211111111111111,1,1,0.0,6.89,0.0,0.1,1
0.1,1,1,0.0,6.89,0.0,0.1,1
1.0,1,1,0.614782731779477,6.89,0.0,0.1,1
0.25,1,1,0.0,6.89,0.0,0.15,1
0.2,1,1,0.0,6.89,0.0,0.15,1
0.15,1,1,0.0,6.89,0.0,0.15,1
0.3,1,1,0.0,6.89,0.0,0.15,1
0.277777777777778,1,1,0.0,6.89,0.0,0.15,1
0.211111111111111,1,1,0.0,6.89,0.0,0.15,1
0.1,1,1,0.0,6.89,0.0,0.15,1
1.0,1,1,0.531058990235204,6.89,0.0,0.15,1
0.294444444444444,1,1,0.803891299574527,6.89,0.0,0.0,1
0.161111111111111,1,1,0.496559730592112,6.89,0.0,0.0,1
0.65,1,1,0.80389129957449,6.89,0.0,0.0,1
0.25,1,1,0.717038169531324,6.89,0.0166896551724138,0.0,1
0.2,1,1,0.616979858867753,6.89,0.0166896551724138,0.0,1
0.15,1,1,0.462357825787055,6.89,0.0166896551724138,0.0,1
0.3,1,1,0.764942412371089,6.89,0.0166896551724138,0.0,1
0.294444444444444,1,1,0.764942412371109,6.89,0.0166896551724138,0.0,1
0.277777777777778,1,1,0.764942412371085,6.89,0.0166896551724138,0.0,1
0.211111111111111,1,1,0.64663202488277,6.89,0.0166896551724138,0.0,1
0.161111111111111,1,1,0.495076408893308,6.89,0.0166896551724138,0.0,1
0.1,1,1,0.324612503524676,6.89,0.0166896551724138,0.0,1
0.65,1,1,0.764942412371079,6.89,0.0166896551724138,0.0,1
1.0,1,1,0.764942412371069,6.89,0.0166896551724138,0.0,1
0.25,1,1,0.713412044516215,6.89,0.0333793103448276,0.0,1
0.2,1,1,0.613653566323087,6.89,0.0333793103448276,0.0,1
0.15,1,1,0.460873999928469,6.89,0.0333793103448276,0.0,1
0.3,1,1,0.724760280399393,6.89,0.0333793103448276,0.0,1
0.294444444444444,1,1,0.724760280399397,6.89,0.0333793103448276,0.0,1
0.277777777777778,1,1,0.724760280399399,6.89,0.0333793103448276,0.0,1
0.211111111111111,1,1,0.64329850706839,6.89,0.0333793103448276,0.0,1
0.161111111111111,1,1,0.493593087194503,6.89,0.0333793103448276,0.0,1
0.1,1,1,0.319017952427468,6.89,0.0333793103448276,0.0,1
0.65,1,1,0.713412044516214,6.89,0.0333793103448276,0.0,1
1.0,1,1,0.72476028039939,6.89,0.0333793103448276,0.0,1
0.25,1,1,0.704701992278771,6.89,0.0500689655172414,0.0,1
0.2,1,1,0.605775386799042,6.89,0.0500689655172414,0.0,1
0.15,1,1,0.459390174069883,6.89,0.0500689655172414,0.0,1
0.3,1,1,0.694662106028832,6.89,0.0500689655172414,0.0,1
0.294444444444444,1,1,0.704701992278812,6.89,0.0500689655172414,0.0,1
0.277777777777778,1,1,0.70470199227873,6.89,0.0500689655172414,0.0,1
0.211111111111111,1,1,0.639849574986466,6.89,0.0500689655172414,0.0,1
0.161111111111111,1,1,0.492109765495701,6.89,0.0500689655172414,0.0,1
0.1,1,1,0.31342238155231,6.89,0.0500689655172414,0.0,1
0.65,1,1,0.704701992278785,6.89,0.0500689655172414,0.0,1
1.0,1,1,0.704701992278785,6.89,0.0500689655172414,0.0,1
