Gamma,Z_Level,Y_Level,rx_EX_ac_e_f,rx_ATPS4rpp_f,rx_BIOMASS_Ec_iML1515_WT_75p37M
0.25,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,6.59582425422754,0.0124765471796948
0.25,0.0,0.0,0.0,7.6814968952716,0.0274287610976605
0.25,0.0,0.0,0.0,8.76691290900494,0.0423930493108773
0.25,0.0,0.0,0.0,9.84483031780189,0.0573200776182175
0.25,0.0,0.0,0.0,10.9282648923259,0.0722756801330281
0.25,0.0,0.0,0.0,12.0569907161418,0.0872312826478074
0.25,0.0,0.0,0.0,13.0953906443334,0.102186885162587
0.25,0.0,0.0,0.0,14.1788984964329,0.11714238168319
0.25,0.0,0.0,0.0,15.2799211573679,0.13202784995916
0.25,0.0,0.0,0.0,16.3838985211592,0.146913161055546
0.25,0.0,0.0,0.0,17.4879600960058,0.161798472151932
0.25,0.0,0.0,0.0,18.5918540420616,0.176683783248357
0.25,0.0,0.0,0.0,19.6959307498325,0.191569094344744
0.25,0.0,0.0,0.0,20.7998675553164,0.206454568844562
0.25,0.0,0.0,0.0,21.9038885969136,0.221339759666247
0.25,0.0,0.0,0.0,23.007886730631,0.236225027633746
0.25,0.0,0.0,0.0,24.1118720575532,0.251110338730131
0.25,0.0,0.0,0.0,25.2158573844539,0.265995649826575
0.25,0.0,0.0,0.0,26.3197970856943,0.280881114574476
0.25,0.0,0.0,0.0,27.4236651551065,0.295766305402394
0.25,0.0,0.0,0.0,28.5276274075991,0.310651705479679
0.25,0.0,0.0,0.0,29.6317757112989,0.325536971603602
0.25,0.0,0.0,0.0,30.7355702760844,0.340422332190041
0.25,0.0,0.0,0.0,31.8395836377146,0.355307522948904
0.25,0.0,0.0,0.0,33.0009769737264,0.36999947586634
0.25,0.0,0.0,0.0,34.1656932539045,0.384680242760774
0.25,0.0,0.0,0.0,35.3306154175912,0.399361009655206
0.25,0.0,0.0,0.0,36.4950612166629,0.414041776549646
0.25,0.0,0.0,0.0,37.6597745876141,0.428722543444082
0.25,0.0,0.0,0.0,38.824487958567,0.443403310338517
0.25,0.0,0.0,0.0,39.9970154234814,0.457543834958326
0.25,0.0,0.0,0.0,41.1763441809507,0.471636909904861
0.25,0.0,0.0,0.0,42.35567293842,0.485729984851396
0.25,0.0,0.0,0.0,43.5350016958893,0.499823059797927
0.25,0.0,0.0,0.0,44.7143304533559,0.513916134744464
0.25,0.0,0.0,0.0,45.9304000980721,0.528009209691
0.25,0.0,0.0,0.0,47.1107095052486,0.542102284637536
0.25,0.0,0.0,0.0,48.2525552803013,0.556192529952491
0.25,0.0,0.0,0.0,49.4719073117538,0.570281561100967
0.25,0.0,0.0,0.0,50.6525573534418,0.58437059224944
0.25,0.0,0.0,0.0,51.8337158283092,0.598453587599857
0.25,0.0,0.0,0.0,53.003709192493,0.612532980219264
0.25,0.0,0.0,0.0,54.1753015687105,0.626391642207562
0.25,0.0,0.0,0.0,55.4539404002201,0.639805074610491
0.25,0.0,0.0,0.0,56.7324866882936,0.653218191400632
0.25,0.0,0.0,0.0,58.0110589791997,0.666629912666519
0.25,0.0,0.0,0.0,59.2913350072255,0.680029480536073
0.25,0.0,0.0,0.0,60.571329589859,0.693429048405623
0.25,0.0,0.0,0.0,61.8538448072423,0.706809604057272
0.25,0.0,0.0,0.0,63.1396572255914,0.72015960487665
0.25,0.0,0.0,0.331430073448408,63.3582105478269,0.72698950544223
0.25,0.0,0.0,0.689060141207073,63.4926161830444,0.733301783253076
0.25,0.0,0.0,1.04677560683232,63.6270126957819,0.739609904679169
0.25,0.0,0.0,1.40449492229193,63.7614127190068,0.745918026105261
0.25,0.0,0.0,1.7622418820635,63.8958154790548,0.752226147531357
0.25,0.0,0.0,2.11996142934694,64.0302155252306,0.758534268957451
0.25,0.0,0.0,2.47768097663015,64.1646155714064,0.764842390383546
0.25,0.0,0.0,2.83537218413158,64.2990128119067,0.77115051180964
0.25,0.0,0.0,3.27053588747538,64.4625097473767,0.778824309008396
0.25,0.0,0.0,3.27145288646232,64.4628542763966,0.778840479622361
0.25,0.0,0.0,3.27787187937218,64.465265979536,0.778953673920123
0.25,0.0,0.0,3.29529486012813,64.471812030915,0.779260915585468
0.25,0.0,0.0,3.32922382265157,64.4845596046527,0.779859228302213
0.25,0.0,0.0,3.38516076086721,64.5055758748689,0.780845635754133
0.25,0.0,0.0,3.46860766869638,64.5369280156833,0.782317161625034
0.25,0.0,0.0,3.5850665400631,64.5806832012155,0.784370829598702
0.25,0.0,0.0,3.7400393688888,64.6389086055851,0.78710366335894
0.25,0.0,0.0,3.93902814909708,64.7136714029116,0.790612686589544
0.25,0.0,0.0,4.19161284329426,64.810655849615,0.79480507701627
0.25,0.0,0.0,4.51877440989441,64.9329261426981,0.79909380665744
0.25,0.0,0.0,4.99971420843503,64.7109567675862,0.802721543856276
0.25,0.0,0.0,5.57226230663553,64.4176978041085,0.806750800452836
0.25,0.0,0.0,6.24003162372581,64.0756665609939,0.811450167954588
0.25,0.0,0.0,7.01034686885202,63.6811113244202,0.81687119335423
0.25,0.0,0.0,7.89053275115952,63.2302803805703,0.823065423644474
0.25,0.0,0.0,8.88058268079981,62.747869793516,0.830019639604589
0.25,0.0,0.0,9.97650303609569,62.2778427673416,0.83776074095442
0.25,0.0,0.0,11.2012149021342,61.7525786151303,0.846411569122291
0.25,0.0,0.0,12.6507145885202,60.8618678566104,0.855644630811477
0.25,0.0,0.0,14.0822174790393,60.6321464529077,0.864425594527633
0.25,0.0,0.0,15.3115879812613,59.8654923733872,0.871426457022501
0.25,0.0,0.0,16.6580267517231,59.0258757357506,0.87909211618888
0.25,0.0,0.0,18.126788465122,58.1099805622387,0.887454194687019
0.25,0.0,0.0,19.723257591576,57.1144898966017,0.896541578142247
0.25,0.0,0.0,21.4525692173034,56.036084745901,0.906387317305056
0.25,0.0,0.0,23.3202147997829,54.8714540397603,0.917020311880165
0.25,0.0,0.0,25.3320273047782,53.6172880839229,0.928458768415722
0.25,0.0,0.0,27.4938589566538,52.1529989201396,0.940184254300095
0.25,0.0,0.0,29.8451175243859,50.5963831091522,0.951988884404349
0.25,0.0,0.0,32.0550194065953,47.5816993408371,0.963886610987618
0.25,0.0,0.0,34.4285246502042,44.3717259712874,0.97626307241534
0.25,0.0,0.0,36.9792229395695,41.681280128825,0.985193576687653
0.25,0.0,0.0,39.7391627434996,38.051374922125,0.990777737652503
0.25,0.0,0.0,42.672323743413,34.1726641307116,0.996463034456574
0.25,0.0,0.0,44.9860252388031,31.098194815774,0.999972170751554
0.25,0.0,0.0,44.9860252388031,31.0981948157739,0.999972170751555
0.25,0.0,0.0,44.9860252388031,31.0981948157735,0.999972170751556
0.25,0.0,0.0,44.9860252388031,31.0981948157733,0.999972170751556
