Gamma,Iteration,Change_Factor,Uptake_Bound,Growth,ATPM,Random_Seed,phiCm,phiCc,phiR,phiEc,phiEr,phiEm,phiP_m,phiP,phiM,phiCm_m,phiEr_m,phiEm_m,phiPmax,phiMmax
1,1,1,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.484,0.484
1,1,1,0.43448275862069,0.0129943405332472,6.86,1,0.000155233304611779,0.461934326299401,0.00219604355011878,0.0111463107693039,0.00529840770346839,0.00326967837309636,0.00872331938117653,0.0220656737005992,0.00872331938117653,0.000155233304611779,0.00529840770346839,0.00326967837309636,0.484,0.484
1,1,1,0.768965517241379,0.04342382865525,6.86,1,0.000274738308955768,0.448106008281081,0.00733862704273724,0.0161310450392587,0.00708238479786229,0.0050671965301052,0.0124243196369233,0.0358939917189192,0.0124243196369233,0.000274738308955768,0.00708238479786229,0.0050671965301052,0.484,0.484
1,1,1,1.10344827586207,0.0738181555605651,6.86,1,0.000394243313299756,0.434234692912081,0.0124752682897355,0.0211657185210374,0.00886572295268386,0.00686435401116227,0.0161243202771459,0.0497653070879188,0.0161243202771459,0.000394243313299756,0.00886572295268386,0.00686435401116227,0.484,0.484
1,1,1,1.43793103448276,0.104243152052863,6.86,1,0.000513748317643745,0.420300345934595,0.0176170926969339,0.0262570196939575,0.0106499025806119,0.00866189077625795,0.0198255416745136,0.0636996540654051,0.0198255416745136,0.000513748317643745,0.0106499025806119,0.00866189077625795,0.484,0.484
1,1,1,1.77241379310345,0.134594282906774,6.86,1,0.000633253321987734,0.406434215667687,0.0227464338112448,0.0312776151925356,0.0124464639647599,0.0104620180417846,0.0235417353285322,0.0775657843323127,0.0235417353285322,0.000633253321987734,0.0124464639647599,0.0104620180417846,0.484,0.484
1,1,1,2.10689655172414,0.164878191689076,6.86,1,0.000752758326331722,0.392616751518896,0.0278644143954539,0.0362472683010924,0.0142542907645294,0.012264516693697,0.0272715657845581,0.0913832484811044,0.0272715657845581,0.000752758326331722,0.0142542907645294,0.012264516693697,0.484,0.484
1,1,1,2.44137931034483,0.195162100471379,6.86,1,0.000872263330675711,0.378788157641888,0.032982394979663,0.041228049975411,0.0160621173129572,0.0140670167594055,0.0310013974030385,0.105211842358112,0.0310013974030385,0.000872263330675711,0.0160621173129572,0.0140670167594055,0.484,0.484
1,1,1,2.77586206896552,0.225446009253681,6.86,1,0.0009917683350197,0.364936256914488,0.0381003755638721,0.0462320382406913,0.0178700023587658,0.0158695585871636,0.0347313292809491,0.119063743085512,0.0347313292809491,0.0009917683350197,0.0178700023587658,0.0158695585871636,0.484,0.484
1,1,1,3.11034482758621,0.255729918035983,6.86,1,0.00111127333936369,0.351081966492344,0.0432183561480812,0.05123861788203,0.0196777706611547,0.0176720154770264,0.0384610594775448,0.132918033507656,0.0384610594775448,0.00111127333936369,0.0196777706611547,0.0176720154770264,0.484,0.484
1,1,1,3.4448275862069,0.286013826818286,6.86,1,0.00123077834370768,0.337228221356594,0.0483363367322903,0.0562445513963177,0.0214855973352534,0.0194745148358369,0.042190890514798,0.146771778643406,0.042190890514798,0.00123077834370768,0.0214855973352534,0.0194745148358369,0.484,0.484
1,1,1,3.77931034482759,0.316297735600588,6.86,1,0.00135028334805167,0.323369948843394,0.0534543173164994,0.0612549656422001,0.0232934432508144,0.02127704159904,0.0459207681979061,0.160630051156606,0.0459207681979061,0.00135028334805167,0.0232934432508144,0.02127704159904,0.484,0.484
1,1,1,4.11379310344828,0.346581644382891,6.86,1,0.00146978835239565,0.309508532433464,0.0585722979007085,0.0662686170765234,0.0251012506834508,0.0230795135534578,0.0496505525893042,0.174491467566536,0.0496505525893042,0.00146978835239565,0.0251012506834508,0.0230795135534578,0.484,0.484
1,1,1,4.44827586206897,0.376865553165191,6.86,1,0.00158929335673964,0.295646582653071,0.0636902784849173,0.0712827552354543,0.0269090773575496,0.0248820129122683,0.0533803836265576,0.188353417346929,0.0533803836265576,0.00158929335673964,0.0269090773575496,0.0248820129122683,0.484,0.484
1,1,1,4.78275862068966,0.407149461947496,6.86,1,0.00170879836108363,0.281784633309064,0.0688082590691268,0.0762968933944013,0.0287169040316481,0.0266845118346759,0.0571102142274076,0.202215366690936,0.0571102142274076,0.00170879836108363,0.0287169040316481,0.0266845118346759,0.484,0.484
1,1,1,5.11724137931035,0.437433370729796,6.86,1,0.00182830336542762,0.267922675590472,0.0739262396533355,0.0813110390551292,0.030524730705747,0.0284870116298892,0.0608400457010638,0.216077324409528,0.0608400457010638,0.00182830336542762,0.030524730705747,0.0284870116298892,0.484,0.484
1,1,1,5.45172413793104,0.467717279512098,6.86,1,0.00194780836977161,0.254116981575613,0.0790442202375446,0.0862926316774768,0.0323192795587385,0.0302790785808559,0.064546166509366,0.229883018424387,0.064546166509366,0.00194780836977161,0.0323192795587385,0.0302790785808559,0.484,0.484
1,1,1,5.78620689655172,0.498001188294405,6.86,1,0.0020673133741156,0.240258673775876,0.0841622008217544,0.0913046630532768,0.0341262465162078,0.0320809024587695,0.068274462349093,0.243741326224124,0.0682744623490929,0.0020673133741156,0.0341262465162078,0.0320809024587695,0.484,0.484
1,1,1,6.12068965517241,0.528285097076703,6.86,1,0.00218681837845959,0.226400365976141,0.0892801814059627,0.0963166944290766,0.0359332134736768,0.0338827263366832,0.0720027581888195,0.257599634023859,0.0720027581888196,0.00218681837845959,0.0359332134736768,0.0338827263366832,0.484,0.484
1,1,1,6.4551724137931,0.558569005859005,6.86,1,0.00230632338280357,0.212542058176406,0.0943981619901719,0.101328725804876,0.0377401804311457,0.0356845502145965,0.0757310540285458,0.271457941823594,0.0757310540285458,0.00230632338280357,0.0377401804311457,0.0356845502145965,0.484,0.484
1,1,1,6.78965517241379,0.588852914641307,6.86,1,0.00242582838714756,0.198683751007837,0.0995161425743809,0.106340757180673,0.0395471473886138,0.0374863734613477,0.0794593492371091,0.285316248992163,0.0794593492371091,0.00242582838714756,0.0395471473886138,0.0374863734613477,0.484,0.484
1,1,1,7.12413793103448,0.619136823423611,6.86,1,0.00254533339149155,0.184825443240558,0.10463412315859,0.111352788556474,0.0413541143460834,0.039288197306802,0.0831876450443769,0.299174556759442,0.0831876450443769,0.00254533339149155,0.0413541143460834,0.039288197306802,0.484,0.484
1,1,1,7.45862068965517,0.649420732205912,6.86,1,0.00266483839583554,0.170967135473285,0.109752103742799,0.116364819932273,0.043161081303552,0.0410900211522554,0.086915940851643,0.313032864526715,0.086915940851643,0.00266483839583554,0.043161081303552,0.0410900211522554,0.484,0.484
1,1,1,7.79310344827586,0.679704640988214,6.86,1,0.00278434340017953,0.157108826977471,0.114870084327008,0.121376851308072,0.0449680482610205,0.0428918457262494,0.0906442373874495,0.326891173022529,0.0906442373874495,0.00278434340017953,0.0449680482610205,0.0428918457262494,0.484,0.484
1,1,1,8.12758620689655,0.709988549770516,6.86,1,0.00290384840452352,0.143250519938738,0.119988064911217,0.12638888268387,0.0467750152184891,0.044693668843162,0.0943725324661746,0.340749480061262,0.0943725324661746,0.00290384840452352,0.0467750152184891,0.044693668843162,0.484,0.484
1,1,1,8.46206896551724,0.740272458552822,6.86,1,0.00302335340886751,0.129303180527514,0.125106045495427,0.131452418696925,0.0486029974467339,0.0465120044245333,0.0981383552801348,0.354696819472486,0.0981383552801348,0.00302335340886751,0.0486029974467339,0.0465120044245333,0.484,0.484
1,1,1,8.79655172413793,0.770556367335125,6.86,1,0.00314285841321149,0.115441230552342,0.130224026079636,0.136466557083094,0.0504108241208323,0.048314503750884,0.101868186284928,0.368558769447658,0.101868186284928,0.00314285841321149,0.0504108241208323,0.048314503750884,0.484,0.484
1,1,1,9.13103448275862,0.790859327015616,6.86,1,0.00326236341755548,0.106517568581854,0.133655226265639,0.139840494111797,0.0512763519941846,0.0494479956289698,0.10398671104071,0.377482431418146,0.10398671104071,0.00326236341755548,0.0512763519941846,0.0494479956289698,0.484,0.484
1,1,1,9.46551724137931,0.802855535610184,6.86,1,0.00338186842189947,0.100741518625079,0.135682585518121,0.142812271275609,0.0513529959505256,0.0500287602087656,0.104763624581191,0.383258481374921,0.104763624581191,0.00338186842189947,0.0513529959505256,0.0500287602087656,0.484,0.484
1,1,1,9.8,0.814851744204745,6.86,1,0.00350137342624346,0.0948786611816934,0.137709944770602,0.14587085987956,0.0514296163399929,0.0506095444019084,0.105540534168145,0.389121338818307,0.105540534168145,0.00350137342624346,0.0514296163399929,0.0506095444019084,0.484,0.484
1,1,1,10,0.822024734910774,6.86,1,0.00357283002677904,0.0913729650206148,0.138922180199921,0.147699764592555,0.0514754950718599,0.0509567650882709,0.10600509018691,0.392627034979385,0.10600509018691,0.00357283002677904,0.0514754950718599,0.0509567650882709,0.484,0.484
1,1,1,10.0052509976896,0.822213061698897,6.86,1,0.00357470611900062,0.0912809241595477,0.138954007427114,0.147747781513024,0.0514766985580168,0.0509658822232973,0.106017286900315,0.392719075840452,0.106017286900315,0.00357470611900062,0.0514766985580168,0.0509658822232973,0.484,0.484
1,1,1,10.0210039907582,0.822778042063263,6.86,1,0.00358033439566537,0.0910048015763285,0.139049489108691,0.147891832274447,0.0514803090165013,0.0509932336283666,0.106053877040533,0.392995198423672,0.106053877040533,0.00358033439566537,0.0514803090165013,0.0509932336283666,0.484,0.484
1,1,1,10.047258979206,0.82371967600387,6.86,1,0.00358971485677327,0.090544597270972,0.139208625244654,0.148131916876811,0.0514863264473024,0.0510388193034869,0.106114860607563,0.393455402729028,0.106114860607563,0.00358971485677327,0.0514863264473024,0.0510388193034869,0.484,0.484
